I_real,I_est,I_prob,Calc_time,R
1031137228,1031137228,"[ 0.01102424  0.92251578  0.01426025  0.01426025  0.01226194  0.01226194
  0.01341559]",25.3955481052,1
1031137228,1031137228,"[ 0.13290994  0.84066337  0.00567035  0.00567035  0.00487575  0.00487575
  0.00533448]",22.5221450329,0
1031137228,1031137228,"[ 0.10963578  0.86856517  0.0046774   0.0046774   0.00402195  0.00402195
  0.00440035]",28.1021490097,0
1031137228,1031137228,"[ 0.10003924  0.88006981  0.00426798  0.00426798  0.0036699   0.0036699
  0.00401518]",28.0294020176,0
1031137228,1031137228,"[ 0.09531008  0.88573927  0.00406622  0.00406622  0.00349642  0.00349642
  0.00382537]",22.3739259243,0
1031137228,1031137228,"[ 0.09120947  0.89065522  0.00389128  0.00389128  0.00334599  0.00334599
  0.00366079]",28.1340260506,0
1031137228,1031137228,"[ 0.08965939  0.89251349  0.00382515  0.00382515  0.00328912  0.00328912
  0.00359858]",22.9384548664,0
1031137228,1031137228,"[ 0.08876589  0.89358465  0.00378703  0.00378703  0.00325634  0.00325634
  0.00356271]",22.5061709881,0
1031137228,1031137228,"[ 0.0869333   0.89578162  0.00370884  0.00370884  0.00318912  0.00318912
  0.00348916]",27.6484360695,0
1031137228,1031137228,"[ 0.08551056  0.89748725  0.00364814  0.00364814  0.00313692  0.00313692
  0.00343206]",23.040366888,0
1031137228,1031137228,"[ 0.08586009  0.89706822  0.00366306  0.00366306  0.00314975  0.00314975
  0.00344609]",22.8333489895,0
1031137228,1031137228,"[ 0.08630244  0.89653791  0.00368193  0.00368193  0.00316597  0.00316597
  0.00346384]",22.7040920258,0
1031137228,1031137228,"[ 0.08701417  0.89568467  0.00371229  0.00371229  0.00319208  0.00319208
  0.00349241]",25.8045549393,0
1031137228,1031137228,"[ 0.09377464  0.88758001  0.00400072  0.00400072  0.00344009  0.00344009
  0.00376375]",27.7285130024,0
1031137228,1031137228,"[ 0.08738506  0.89524004  0.00372812  0.00372812  0.00320569  0.00320569
  0.00350729]",23.0403552055,0
1031137228,1031137228,"[ 0.09929979  0.88095628  0.00423644  0.00423644  0.00364278  0.00364278
  0.0039855 ]",28.655452013,0
4321,1031137228,"[ 0.08815214  0.89432044  0.00376084  0.00376084  0.00323383  0.00323383
  0.00353808]",29.0816419125,1
4321,1031137228,"[ 0.08453167  0.56254661  0.00539433  0.00539433  0.00463842  0.33241983
  0.00507482]",33.2802629471,0
1031137228,1031137228,"[ 0.07127083  0.52562853  0.0045481   0.0045481   0.00391077  0.38581495
  0.00427871]",22.3228042126,0
4321,1031137228,"[ 0.08829353  0.57161828  0.0056344   0.0056344   0.00484484  0.3186739
  0.00530066]",31.0440330505,0
